customer_id,baby_and_kids_spend,beauty_and_personal_care_spend,books_and_stationery_spend,electronics_and_accessories_spend,fashion_and_apparel_spend,fitness_and_health_spend,footwear_spend,grocery_and_fmcg_spend,home_and_kitchen_spend,home_furnishing_spend,baby_and_kids_pct,beauty_and_personal_care_pct,books_and_stationery_pct,electronics_and_accessories_pct,fashion_and_apparel_pct,fitness_and_health_pct,footwear_pct,grocery_and_fmcg_pct,home_and_kitchen_pct,home_furnishing_pct
Q7KY2,9594,299,249,0,0,0,0,0,0,0,94.59672648392822,2.948136462236245,2.4551370538355353,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XP2F1,0,0,1499,449,499,0,0,0,25893,0,0.0,0.0,5.289343683839097,1.584333098094566,1.7607621736062105,0.0,0.0,0.0,91.36556104446014,0.0
F116F,0,3896,0,0,0,0,0,200,2499,0,0.0,59.07505686125853,0.0,0.0,0.0,0.0,0.0,3.0326004548900682,37.8923426838514,0.0
2HYCJ,0,699,0,999,0,0,0,0,19493,0,0.0,3.298570147704214,0.0,4.714265490066538,0.0,0.0,0.0,0.0,91.98716436222925,0.0
6D9IW,0,0,0,0,0,0,10295,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
VJHLX,0,249,0,0,0,0,0,305,0,0,0.0,44.94584837545126,0.0,0.0,0.0,0.0,0.0,55.054151624548744,0.0,0.0
2WWDZ,0,699,199,0,0,23295,0,0,0,0,0.0,2.889265490017774,0.8225519778448311,0.0,0.0,96.28818253213738,0.0,0.0,0.0,0.0
A7I9I,0,0,0,0,0,24793,0,0,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
LWJP6,0,0,0,0,0,2499,0,0,0,16591,0.0,0.0,0.0,0.0,0.0,13.090623363017286,0.0,0.0,0.0,86.90937663698271
KRXNF,0,0,2346,0,0,0,3499,0,0,0,0.0,0.0,40.13686911890505,0.0,0.0,0.0,59.86313088109495,0.0,0.0,0.0
NJLBY,12993,0,0,0,0,0,0,0,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERJTN,0,3542,0,0,0,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1OUFR,0,0,0,5998,0,22595,0,0,999,0,0.0,0.0,0.0,20.268991619356584,0.0,76.3550959718843,0.0,0.0,3.375912408759124,0.0
